sample_id	pgs_score
CTRL1	-7.39182
CTRL3	-6.35344
CTRL4	-6.29036
CTRL5	-6.50488
CTRL6	-7.02117
CTRL7	-4.41681
CTRL8	-8.75789
CTRL9	-4.56567
CTRL10	-4.35
CTRL11	-3.66033
CTRL12	-5.93059
CTRL13	-4.33554
CTRL14	-5.7355
CTRL15	-6.21555
CTRL16	-7.86011
CTRL17	-6.53425
CTRL18	-4.90645
CTRL19	-9.5601
CTRL20	-8.81181
CTRL21	-5.92293
CTRL24	-7.18381
CTRL26	-5.98382
CTRL27	-8.79626
CTRL28	-7.2277
CTRL29	-5.37577
CTRL30	-6.25425
CTRL31	-2.52893
CTRL32	-5.75477
CTRL33	-7.04486
CTRL34	-7.29934
CTRL35	-5.53634
CTRL36	-4.93134
CTRL37	-7.52161
CTRL38	-8.91744
CTRL40	-4.65479
CTRL42	-5.54202
CTRL43	-3.48617
CTRL44	-8.4146
CTRL45	-5.02059
CTRL46	-6.08057
CTRL47	-8.97161
CTRL48	-3.86007
CTRL49	-3.47825
CTRL51	-5.35686
CTRL53	-6.19209
CTRL54	-6.6597
CTRL55	-7.69079
CTRL56	-5.82532
CTRL57	-5.03225
CTRL60	-6.48293
CTRL61	-7.28631
CTRL62	-4.9392
CTRL65	-7.81317
CTRL67	-5.71396
CTRL69	-5.76743
CTRL70	-4.77203
CTRL71	-4.03612
CTRL72	-8.85356
CTRL73	-5.89758
CTRL75	-6.40801
CTRL76	-7.48002
CTRL77	-5.69005
CTRL78	-7.81917
CTRL80	-4.97861
CTRL82	-3.01511
CTRL83	-4.1179
CTRL84	-6.11941
CTRL85	-7.65384
CTRL86	-5.55879
CTRL87	-8.97088
CTRL90	-6.39745
CTRL91	-3.24491
CTRL92	-8.42008
CTRL93	-5.25778
CTRL94	-8.1715
CTRL95	-8.50849
CTRL96	-6.47774
CTRL97	-6.40971
CTRL98	-7.51866
CTRL100	-5.87367
CTRL101	-7.45947
CTRL102	-2.40633
CTRL103	-3.90055
CTRL104	-5.80786
CTRL105	-6.77416
CTRL106	-4.65737
CTRL107	-5.00301
CTRL108	-5.32364
CTRL109	-6.40152
CTRL110	-3.90771
CTRL111	-7.75192
CTRL112	-4.8897
CTRL113	-5.25531
CTRL114	-6.39635
CTRL115	-5.92556
CTRL116	-8.02449
CTRL117	-9.68643
CTRL118	-5.65621
CTRL119	-5.3924
CTRL120	-4.96574
CTRL121	-5.80747
CTRL122	-4.63639
CTRL123	-8.28069
CTRL124	-5.3271
CTRL125	-4.79172
CTRL126	-4.94193
CTRL127	-5.51938
CTRL129	-4.02283
CTRL131	-6.32742
CTRL132	-5.07592
CTRL133	-7.14871
CTRL134	-6.27153
CTRL135	-6.84734
CTRL136	-4.81871
CTRL137	-5.31564
CTRL138	-6.48984
CTRL139	-6.76061
CTRL140	-5.17937
CTRL141	-4.62719
CTRL142	-6.44377
CTRL143	-6.25563
CTRL144	-3.21896
CTRL145	-4.84214
CTRL146	-6.67153
CTRL147	-3.79095
CTRL148	-4.98613
CTRL150	-3.91682
CTRL154	-2.98348
CTRL155	-7.53614
CTRL156	-6.38226
CTRL157	-4.47123
CTRL158	-5.88628
CTRL159	-4.79783
CTRL161	-5.90479
CTRL162	-4.4677
CTRL163	-5.55246
CTRL164	-6.18959
CTRL165	-6.67449
CTRL166	-6.24378
CTRL167	-8.04993
CTRL169	-5.36336
CTRL170	-6.84592
CTRL171	-5.89502
CTRL172	-6.47171
CTRL173	-7.99181
CTRL174	-4.59685
CTRL175	-5.70058
CTRL176	-3.61849
CTRL177	-6.35379
CTRL178	-5.23347
CTRL179	-4.55538
CTRL180	-7.68814
CTRL181	-6.20788
CTRL182	-7.45831
CTRL183	-4.52604
CTRL184	-4.52547
CTRL186	-6.7342
CTRL187	-4.7222
CTRL188	-7.22397
CTRL189	-6.69081
CTRL190	-5.44452
CTRL191	-6.29721
CTRL192	-7.43477
CTRL193	-7.76182
CTRL194	-7.908
CTRL195	-6.61342
CTRL196	-5.87525
CTRL197	-6.54947
CTRL198	-5.48724
CTRL199	-6.5415
CTRL200	-8.0275
